~620	20180608	133202
3192	1	A4	0000000000000000
3196	1	A2	F0D8F0D865050000
3200	1	A8	1E0071FC0000FDFF
3204	1	A6	00000200E8FF0000
3208	1	F2	00000F8600000F8C
3211	1	AC	0000F7FFE5030000
3215	1	528	070F00000000
3219	1	AD	0000000000000000
3223	1	F3	00
3227	1	523	020400000011
3231	1	A3	EDB5D71EEDB5F71E
3234	1	526	050900000000
3238	1	A3	EDB5C71EECB5F71E
3242	1	90	0000000018C63000
3246	1	A3	EEB9C71EEDB5F71E
3250	1	E1	0000000000000000
3254	1	A8	1E0071FCFEFFE8FF
3258	1	A6	0D000A0009000000
3262	1	D8	00
3265	1	AD	0100000000000000
3270	1	90	0000000018864000
3274	1	AD	FFFF000000000000
3278	1	526	050D00000000
3282	1	E1	0000000000000000
3285	1	526	050E00000000
3289	1	E1	0000000000000000
3293	1	E0	0000000000000000
3297	1	526	050F00000000
3301	1	E1	0000000000000000
3305	1	E0	0000000000000000
3308	1	A8	1E0071FC01001800
3312	1	A6	F3FFF5FFF8FF0000
3316	1	AC	0000F6FF09040000
3320	1	AB	0000000000080000
3324	1	E0	0000000000000000
3328	1	AD	0100000000000000
3331	1	E1	0000000000000000
3335	1	E0	0000000000000000
3340	1	E1	0000000000000000
3344	1	E0	0000000000000000
3348	1	90	0000000018864000
3351	1	E1	0000000000000000
3355	1	526	050500000000
3359	1	E1	0000000000000000
3363	1	A4	0000000000000000
3367	1	E0	0000000000000000
3371	1	AB	0000000000080000
3374	1	A8	1E0071FC00000600
3378	1	526	050700000000
3382	1	AD	0100000000000000
3386	1	90	0000000018C64000
3390	1	AD	FFFF000000000000
3394	1	E0	0000000000000000
3397	1	526	050900000000
3401	1	138	102710271027
3405	1	E0	0000000000000000
3409	1	D8	00
3413	1	F2	00000F8600000F8C
3417	1	A3	EDB9C71EEDB5E71E
3421	1	E1	0000000000000000
3425	1	A8	1E0071FC00000700
3429	1	A7	350000000500FBFF
3433	1	DF	00007F80
3436	1	AC	0000000030040000
3440	1	E1	0000000000000000
3444	1	AD	FFFF000000000000
3448	1	526	050E00000000
3452	1	AD	FFFF000000000000
3456	1	526	050F00000000
3460	1	AD	0000000000000000
3464	1	F1	30C8E6F830
3467	1	523	020800000000
3471	1	A3	ECB5C71EEDB5E71E
3475	1	526	050100000000
3479	1	A8	1E0071FCFAFF0C00
3483	1	A6	0000F4FFEFFF0000
3487	1	526	050200000000
3491	1	AE	1000AF1916031820
3495	1	526	050300000000
3499	1	AD	FFFF000000000000
3503	1	138	102710271027
3507	1	521	0002FFFFFFF7
3510	1	E1	0000000000000000
3514	1	F4	0000
3518	1	90	0000000018C64000
3522	1	E1	0000000000000000
3526	1	526	050600000000
3532	1	AD	FFFF000000000000
3536	1	526	050700000000
3541	1	AD	FFFF000000000000
3545	1	526	050800000000
3550	1	AD	FFFF000000000000
3554	1	A3	ECB5C71EEEB9E71E
3557	1	526	050900000000
3561	1	A3	EDB5B71EEEB9E71E
3565	1	F3	20
3569	1	A8	1E0071FCFEFFEAFF
3574	1	A6	0B0009000C000000
3577	1	AB	0000000000080000
3581	1	A8	1E0071FC04002600
3585	1	526	050C00000000
3589	1	AD	0000000000000000
3593	1	E1	0000000000000000
3597	1	526	050D00000000
3600	1	E1	0000000000000000
3604	1	AD	FFFF000000000000
3608	1	526	050E00000000
3612	1	E1	0000000000000000
3616	1	528	070300000000
3620	1	E1	0000000000000000
3624	1	A3	EDB9D71EECB5F71E
3628	1	E0	0000000000000000
3632	1	AA	0700010800008000
3636	1	A7	2D000000F7FF0000
3639	1	DF	00007F80
3643	1	AD	FFFF000000000000
3648	1	F3	20
3652	1	AD	FFFF000000000000
3656	1	526	050300000000
3659	1	F2	00000F8600000F8C
3663	1	E1	0000000000000000
3667	1	526	050400000000
3671	1	E1	0000000000000000
3675	1	90	0000000018863000
3679	1	A3	ECB9B71EEDB5E71E
3682	1	E1	0000000000000000
3686	1	AA	0700010800008000
3690	1	A8	1E0071FC0000F0FF
3694	1	AD	0000000000000000
3698	1	AB	0000000000080000
3702	1	E1	0000000000000000
3705	1	AD	0000000000000000
3709	1	526	050800000000
3713	1	E1	0000000000000000
3717	1	528	070400000000
3722	1	AD	FFFF000000000000
3725	1	E0	0000000000000000
3729	1	90	0000000018C63000
3733	1	F3	20
3737	1	526	050B00000000
3741	1	A4	0000000000000000
3745	1	A3	EDB9D71EEEB9F71E
3748	1	AB	0000000000080000
3752	1	AA	0700010000008000
3756	1	526	050D00000000
3760	1	AD	0000000000000000
3764	1	A3	EEB9C71EEDB5E71E
3768	1	523	020D00000015
3771	1	A3	EDB9C71EEDB5F71E
3775	1	AD	0000000000000000
3779	1	526	050F00000000
3783	1	F2	00000F8600000F8C
3787	1	A2	F0D8F0D865050000
3791	1	A0	E500E400E800E000
3795	1	526	050100000000
3799	1	E0	0000000000000000
3803	1	A8	1E0071FCFFFF0A00
3807	1	A6	FBFFF9FFF8FF0000
3811	1	E0	0000000000000000
3814	1	AD	FFFF000000000000
3818	1	90	0000000018864000
3822	1	F3	20
3826	1	E0	0000000000000000
3830	1	AD	0000000000000000
3834	1	E1	0000000000000000
3837	1	526	050500000000
3841	1	A3	EDB9B71EEDB5E71E
3845	1	E1	0000000000000000
3849	1	A4	0000000000000000
3853	1	E1	0000000000000000
3857	1	AB	0000000000080000
3860	1	90	0000000018864000
3864	1	F2	00000F8600000F8C
3869	1	526	050800000000
3873	1	E1	0000000000000000
3877	1	AD	0100000000000000
3880	1	526	050900000000
3884	1	E1	0000000000000000
3888	1	526	050A00000000
3892	1	AD	0000000000000000
3896	1	526	050B00000000
3900	1	90	0000000018864000
3903	1	E1	0000000000000000
3907	1	F2	00000F8600000F8C
3911	1	A7	24000000FEFFFFFF
3915	1	A5	6D09000000009800
3919	1	528	070600000000
3923	1	AC	00000900D2040000
3926	1	E0	0000000000000000
3930	1	AD	0000000000000000
3934	1	E1	0000000000000000
3938	1	526	050F00000000
3943	1	E1	0000000000000000
3946	1	523	020000000017
3950	1	F3	20
3954	1	E1	0000000000000000
3958	1	526	050100000000
3962	1	90	0000000018C64000
3966	1	A5	6D09000000009700
3969	1	A3	EEB9C71EEDB5E71E
3973	1	AC	00000600E4040000
3977	1	AA	0700010000008000
3981	1	E0	0000000000000000
3985	1	AD	0000000000000000
3989	1	F2	00000F8600000F8C
3992	1	F3	20
3996	1	526	050500000000
4000	1	123	BFFFFEFF41FC
4004	1	A3	EDB5C71EEDB5E71E
4008	1	521	0007FFFFFFFE
4012	1	A3	EDB9C71EEDB5E71E
4015	1	526	050700000000
4020	1	A3	EDB9C71EEDB5F71E
4025	1	526	050800000000
4029	1	F2	00000F8600000F8C
4033	1	F3	20
4037	1	A8	1E0071FC0100FEFF
4041	1	A6	00000200FDFF0000
4045	1	A3	EDB5C71EEEB9E71E
4048	1	AD	0100000000000000
4052	1	DF	00007F80
4056	1	90	0000000018863000
4060	1	E0	0000000000000000
4064	1	AD	0000000000000000
4068	1	E0	0000000000000000
4071	1	F2	00000F8600000F8C
4075	1	F3	20
4079	1	526	050D00000000
4083	1	A6	08000A0008000000
4087	1	A4	0000000000000000
4091	1	AA	0700010000008000
4094	1	A7	240000000100FBFF
4099	1	AD	0100000000000000
4103	1	AB	0000000000080000
4107	1	526	050000000000
4111	1	AD	FFFF000000000000
4114	1	F2	00000F8600000F8C
4118	1	526	050100000000
4122	1	528	070800000000
4126	1	523	020300000009
4130	1	526	050200000000
4135	1	AD	0100000000000000
4139	1	526	050300000000
4144	1	AD	0000000000000000
4148	1	526	050400000000
4151	1	E0	0000000000000000
4155	1	DF	00007F80
4159	1	526	050500000000
